행선국(지역),2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월
캄보디아,1227,1123,1464,2355,2796,2790,3888,3751,3239,3233,3856,5884,14619,12552,4993,4650,4838,4949,6698,6401,5383,5733,5227,8335,19299,16169,5483,4828,5000,5990,8391
캐나다,5113,3259,4058,5411,7474,10478,14518,15412,12335,9171,7689,9630,11084,7508,7185,7348,10411,12481,16768,12535,14214,11807,6956,9588,11002,8087,7389,8579,11568,13681,19760
타이완,0,0,0,0,0,0,0,0,0,0,0,0,35400,56169,48769,55962,54757,42649,45628,48132,64422,69222,82039,100171,107956,105595,88276,65800,62962,48095,50304
태국,2371,2498,3313,8072,13886,22613,54470,60507,51419,63849,83041,118046,155580,144383,103748,85343,94252,112142,138530,134504,121406,115377,132812,171135,199411,171343,134114,111738,114509,120386,146320
튀르키예,1537,868,1308,2828,5474,6956,10782,11261,12996,13969,12511,12637,16317,13505,10750,11266,14824,15519,16700,15578,19290,17061,12662,13264,16813,13567,13666,15408,18394,17047,16424
폴란드,1153,1146,1508,1929,1869,3021,4956,4079,4174,3632,2637,3148,4688,3668,2944,3016,3435,3899,4456,3759,4218,3148,2352,0,0,0,0,0,0,0,0
프랑스,2060,1514,2385,5014,8009,9216,12557,12624,17960,16335,13120,13857,16496,14255,13914,14784,17004,21329,19513,15601,22166,18527,15486,16273,18934,16343,14446,17132,18838,18372,15319
핀란드,0,0,0,0,0,0,0,0,0,0,0,0,5793,4350,3639,4393,5805,6066,6497,6328,6144,4291,3731,0,0,0,0,0,0,0,0
필리핀,1034,2652,5728,11087,16541,27118,55746,54630,43683,48993,68737,98585,129609,125872,103822,93231,107003,121320,146858,140075,118501,116407,124206,155202,177950,161436,130098,121322,122594,119780,152252
헝가리,1372,1526,1415,1723,2062,2262,1891,2304,1809,3279,3296,3783,4847,4283,4649,6175,6901,6325,6632,6616,6954,5970,4223,0,0,0,0,0,0,0,0
호주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29306,30080,37120,25111,21553,24877,23385,28925
홍콩,0,0,0,0,0,0,0,0,0,0,0,0,10690,14687,15814,16317,19324,17688,22053,24161,30569,32156,42693,49447,69128,58463,43375,43118,39403,34029,38224
