연도,국가,여행객수
2005,감비아,1
2003,가나,123
2004,가나,143
2005,가나,107
2003,가나,90
2004,가나,104
2005,가나,76
2003,가나,33
2004,가나,39
2005,가나,31
2003,기니,17
2004,기니,31
2005,기니,13
2003,기니,16
2004,기니,29
2005,기니,12
2003,기니,1
2004,기니,2
2005,기니,1
2003,기니비사우,0
2004,기니비사우,0
2005,기니비사우,2
2003,기니비사우,0
2004,기니비사우,0
2005,기니비사우,2
2003,기니비사우,0
2004,기니비사우,0
2005,기니비사우,0
2003,코트디부아르,14
2004,코트디부아르,14
2005,코트디부아르,3
2003,코트디부아르,8
2004,코트디부아르,10
2005,코트디부아르,0
2003,코트디부아르,6
2004,코트디부아르,4
2005,코트디부아르,3
2003,케냐,139
2004,케냐,133
2005,케냐,157
2003,케냐,71
2004,케냐,70
2005,케냐,80
2003,케냐,68
2004,케냐,63
2005,케냐,77
2003,라이베리아,1
2004,라이베리아,5
2005,라이베리아,2
2003,라이베리아,1
2004,라이베리아,4
2005,라이베리아,2
2003,라이베리아,0
2004,라이베리아,1
2005,라이베리아,0
2003,리비아,494
2004,리비아,221
2005,리비아,207
2003,리비아,464
2004,리비아,206
2005,리비아,187
2003,리비아,30
2004,리비아,15
2005,리비아,20
2003,마다가스카르,1
2004,마다가스카르,8
2005,마다가스카르,7
2003,마다가스카르,1
2004,마다가스카르,5
2005,마다가스카르,5
2003,마다가스카르,0
2004,마다가스카르,3
2005,마다가스카르,2
2003,말라위,2
2004,말라위,1
2005,말라위,5
2003,말라위,2
2004,말라위,0
2005,말라위,5
2003,말라위,0
2004,말라위,1
2005,말라위,0
2003,말리,1
2004,말리,0
2005,말리,0
2003,말리,0
2004,말리,0
2005,말리,0
2003,말리,1
2004,말리,0
2005,말리,0
2003,모리타니,0
2004,모리타니,0
2005,모리타니,5
2003,모리타니,0
2004,모리타니,0
2005,모리타니,5
2003,모리타니,0
2004,모리타니,0
2005,모리타니,0
2003,모리셔스,1
2004,모리셔스,3
2005,모리셔스,0
2003,모리셔스,1
2004,모리셔스,1
2005,모리셔스,0
2003,모리셔스,0
2004,모리셔스,2
2005,모리셔스,0
2003,모로코,38
2004,모로코,57
2005,모로코,72
2003,모로코,24
2004,모로코,36
2005,모로코,37
2003,모로코,14
2004,모로코,21
2005,모로코,35
2003,모잠비크,1
2004,모잠비크,4
2005,모잠비크,9
2003,모잠비크,0
2004,모잠비크,4
2005,모잠비크,8
2003,모잠비크,1
2004,모잠비크,0
2005,모잠비크,1
2003,나미비아,0
2004,나미비아,0
2005,나미비아,0
2003,나미비아,0
2004,나미비아,0
2005,나미비아,0
2003,나미비아,0
2004,나미비아,0
2005,나미비아,0
2003,니제르,0
2004,니제르,0
2005,니제르,0
2003,니제르,0
2004,니제르,0
2005,니제르,0
2003,니제르,0
2004,니제르,0
2005,니제르,0
2003,나이지리아,212
2004,나이지리아,241
2005,나이지리아,276
2003,나이지리아,206
2004,나이지리아,228
2005,나이지리아,257
2003,나이지리아,6
2004,나이지리아,13
2005,나이지리아,19
2003,짐바브웨,5
2004,짐바브웨,11
2005,짐바브웨,25
2003,짐바브웨,2
2004,짐바브웨,6
2005,짐바브웨,11
2003,짐바브웨,3
2004,짐바브웨,5
2005,짐바브웨,14
2003,르완다,2
2004,르완다,2
2005,르완다,31
2003,르완다,1
2004,르완다,2
2005,르완다,31
2003,르완다,1
2004,르완다,0
2005,르완다,0
2003,세네갈,26
2004,세네갈,17
2005,세네갈,18
2003,세네갈,15
2004,세네갈,12
2005,세네갈,8
2003,세네갈,11
2004,세네갈,5
2005,세네갈,10
2003,세이쉘,0
2004,세이쉘,0
2005,세이쉘,0
2003,세이쉘,0
2004,세이쉘,0
2005,세이쉘,0
2003,세이쉘,0
2004,세이쉘,0
2005,세이쉘,0
2003,시에라리온,4
2004,시에라리온,2
2005,시에라리온,2
2003,시에라리온,1
2004,시에라리온,2
2005,시에라리온,2
2003,시에라리온,3
2004,시에라리온,0
2005,시에라리온,0
2003,소말리아,2
2004,소말리아,2
2005,소말리아,1
2003,소말리아,0
2004,소말리아,1
2005,소말리아,1
2003,소말리아,2
2004,소말리아,1
2005,소말리아,0
2003,남아프리카공화국,747
2004,남아프리카공화국,723
2005,남아프리카공화국,663
2003,남아프리카공화국,375
2004,남아프리카공화국,384
2005,남아프리카공화국,368
2003,남아프리카공화국,372
2004,남아프리카공화국,339
2005,남아프리카공화국,295
2003,수단,22
2004,수단,17
2005,수단,10
2003,수단,11
2004,수단,8
2005,수단,7
2003,수단,11
2004,수단,9
2005,수단,3
2003,스와질랜드,0
2004,스와질랜드,3
2005,스와질랜드,3
2003,스와질랜드,0
2004,스와질랜드,0
2005,스와질랜드,1
2003,스와질랜드,0
2004,스와질랜드,3
2005,스와질랜드,2
2003,탄자니아,44
2004,탄자니아,66
2005,탄자니아,41
2003,탄자니아,23
2004,탄자니아,27
2005,탄자니아,22
2003,탄자니아,21
2004,탄자니아,39
2005,탄자니아,19
2003,토고,1
2004,토고,9
2005,토고,5
2003,토고,0
2004,토고,8
2005,토고,3
2003,토고,1
2004,토고,1
2005,토고,2
2003,튀니지,16
2004,튀니지,18
2005,튀니지,38
2003,튀니지,7
2004,튀니지,6
2005,튀니지,17
2003,튀니지,9
2004,튀니지,12
2005,튀니지,21
2003,우간다,22
2004,우간다,18
2005,우간다,31
2003,우간다,12
2004,우간다,8
2005,우간다,16
2003,우간다,10
2004,우간다,10
2005,우간다,15
2003,부르키나파소,0
2004,부르키나파소,0
2005,부르키나파소,2
2003,부르키나파소,0
2004,부르키나파소,0
2005,부르키나파소,1
2003,부르키나파소,0
2004,부르키나파소,0
2005,부르키나파소,1
2003,서사하라,0
2004,서사하라,0
2005,서사하라,0
2003,서사하라,0
2004,서사하라,0
2005,서사하라,0
2003,서사하라,0
2004,서사하라,0
2005,서사하라,0
2003,자이르,0
2004,자이르,0
2005,자이르,0
2003,자이르,0
2004,자이르,0
2005,자이르,0
2003,자이르,0
2004,자이르,0
2005,자이르,0
2003,잠비아,13
2004,잠비아,14
2005,잠비아,14
2003,잠비아,4
2004,잠비아,9
2005,잠비아,10
2003,잠비아,9
2004,잠비아,5
2005,잠비아,4
2003,공해,75
2004,공해,89
2005,공해,65
2003,공해,75
2004,공해,89
2005,공해,65
2003,공해,0
2004,공해,0
2005,공해,0
2003,미상,3
2004,미상,6
2005,미상,6
2003,미상,2
2004,미상,6
2005,미상,2
2003,미상,1
2004,미상,0
2005,미상,4
